barrio,año,trimestre,precio_prom,ambientes,estado,comuna
BARRACAS,2019,2,2536,2 ambientes,Usado,4
BELGRANO,2010,1,1973,2 ambientes,Usado,13
BELGRANO,2010,2,2031,2 ambientes,Usado,13
BELGRANO,2010,3,2174,2 ambientes,Usado,13
BELGRANO,2010,4,2182,2 ambientes,Usado,13
BELGRANO,2011,1,2218,2 ambientes,Usado,13
BELGRANO,2011,2,2324,2 ambientes,Usado,13
BELGRANO,2011,3,2416,2 ambientes,Usado,13
BELGRANO,2011,4,2603,2 ambientes,Usado,13
BELGRANO,2012,1,2730,2 ambientes,Usado,13
BELGRANO,2012,2,2603,2 ambientes,Usado,13
BELGRANO,2012,3,2534,2 ambientes,Usado,13
BELGRANO,2012,4,2292,2 ambientes,Usado,13
BELGRANO,2013,1,,2 ambientes,Usado,13
BELGRANO,2013,2,2697,2 ambientes,Usado,13
BELGRANO,2013,3,2366,2 ambientes,Usado,13
BELGRANO,2013,4,2555,2 ambientes,Usado,13
BELGRANO,2014,1,2543,2 ambientes,Usado,13
BELGRANO,2014,2,2373,2 ambientes,Usado,13
BELGRANO,2014,3,2589,2 ambientes,Usado,13
BELGRANO,2014,4,2584,2 ambientes,Usado,13
BELGRANO,2015,1,2527,2 ambientes,Usado,13
BELGRANO,2015,2,2556,2 ambientes,Usado,13
BELGRANO,2015,3,2516,2 ambientes,Usado,13
BELGRANO,2015,4,2623,2 ambientes,Usado,13
BELGRANO,2016,1,2694,2 ambientes,Usado,13
BELGRANO,2016,2,2700,2 ambientes,Usado,13
BELGRANO,2016,3,2757,2 ambientes,Usado,13
BELGRANO,2016,4,2869,2 ambientes,Usado,13
BELGRANO,2017,1,2945,2 ambientes,Usado,13
BELGRANO,2017,2,2933,2 ambientes,Usado,13
BELGRANO,2017,3,3077,2 ambientes,Usado,13
BELGRANO,2017,4,3376,2 ambientes,Usado,13
BELGRANO,2018,1,3473,2 ambientes,Usado,13
BELGRANO,2018,2,3517,2 ambientes,Usado,13
BELGRANO,2018,3,3479,2 ambientes,Usado,13
BELGRANO,2018,4,3450,2 ambientes,Usado,13
BELGRANO,2019,1,3430,2 ambientes,Usado,13
BELGRANO,2019,2,3431,2 ambientes,Usado,13
BOCA,2010,1,1126,2 ambientes,Usado,4
BOCA,2010,2,1156,2 ambientes,Usado,4
BOCA,2010,3,1095,2 ambientes,Usado,4
BOCA,2010,4,1052,2 ambientes,Usado,4
BOCA,2011,1,1054,2 ambientes,Usado,4
BOCA,2011,2,1123,2 ambientes,Usado,4
BOCA,2011,3,1180,2 ambientes,Usado,4
BOCA,2011,4,,2 ambientes,Usado,4
BOCA,2012,1,,2 ambientes,Usado,4
BOCA,2012,2,,2 ambientes,Usado,4
BOCA,2012,3,,2 ambientes,Usado,4
BOCA,2012,4,,2 ambientes,Usado,4
BOCA,2013,1,,2 ambientes,Usado,4
BOCA,2013,2,,2 ambientes,Usado,4
BOCA,2013,3,,2 ambientes,Usado,4
BOCA,2013,4,,2 ambientes,Usado,4
BOCA,2014,1,,2 ambientes,Usado,4
BOCA,2014,2,,2 ambientes,Usado,4
BOCA,2014,3,,2 ambientes,Usado,4
