barrio,anio,mes,precio_prom,ambientes,comuna
BALVANERA,2016,Ene,NA,3 ambientes,3
BALVANERA,2016,Feb,NA,3 ambientes,3
BALVANERA,2016,Mar,NA,3 ambientes,3
BALVANERA,2016,Abr,NA,3 ambientes,3
BALVANERA,2016,May,7462,3 ambientes,3
BALVANERA,2016,Jun,NA,3 ambientes,3
BALVANERA,2016,Jul,NA,3 ambientes,3
BALVANERA,2016,Ago,NA,3 ambientes,3
BALVANERA,2016,Sep,8001,3 ambientes,3
BALVANERA,2016,Oct,8519,3 ambientes,3
BALVANERA,2016,Nov,9384,3 ambientes,3
BALVANERA,2016,Dic,9662,3 ambientes,3
BALVANERA,2017,Ene,9492,3 ambientes,3
BALVANERA,2017,Feb,9496,3 ambientes,3
BALVANERA,2017,Mar,10356,3 ambientes,3
BALVANERA,2017,Abr,10698,3 ambientes,3
BALVANERA,2017,May,10250,3 ambientes,3
BALVANERA,2017,Jun,10511,3 ambientes,3
BALVANERA,2017,Jul,10736,3 ambientes,3
BALVANERA,2017,Ago,NA,3 ambientes,3
BALVANERA,2017,Sep,NA,3 ambientes,3
BALVANERA,2017,Oct,NA,3 ambientes,3
BALVANERA,2017,Nov,12899,3 ambientes,3
BALVANERA,2017,Dic,NA,3 ambientes,3
BALVANERA,2018,Ene,NA,3 ambientes,3
BALVANERA,2018,Feb,NA,3 ambientes,3
BALVANERA,2018,Mar,14126,3 ambientes,3
BALVANERA,2018,Abr,14700,3 ambientes,3
BALVANERA,2018,May,14741,3 ambientes,3
BALVANERA,2018,Jun,14153,3 ambientes,3
BALVANERA,2018,Jul,NA,3 ambientes,3
BALVANERA,2018,Ago,NA,3 ambientes,3
BALVANERA,2018,Sep,16020,3 ambientes,3
BALVANERA,2018,Oct,15900,3 ambientes,3
BALVANERA,2018,Nov,16396,3 ambientes,3
BALVANERA,2018,Dic,NA,3 ambientes,3
BALVANERA,2019,Ene,NA,3 ambientes,3
BALVANERA,2019,Feb,NA,3 ambientes,3
BALVANERA,2019,Mar,17994,3 ambientes,3
BALVANERA,2019,Abr,19500,3 ambientes,3
BALVANERA,2019,May,20045,3 ambientes,3
BALVANERA,2019,Jun,20521,3 ambientes,3
BALVANERA,2019,Jul,NA,3 ambientes,3
BALVANERA,2019,Ago,NA,3 ambientes,3
BARRACAS,2013,Jul,NA,3 ambientes,4
BARRACAS,2013,Ago,NA,3 ambientes,4
BARRACAS,2013,Sep,NA,3 ambientes,4
BARRACAS,2013,Oct,4355,3 ambientes,4
BARRACAS,2013,Nov,NA,3 ambientes,4
BARRACAS,2013,Dic,NA,3 ambientes,4
BARRACAS,2014,Ene,NA,3 ambientes,4
BARRACAS,2014,Feb,NA,3 ambientes,4
