barrio,año,precio_prom
RETIRO,2012,
RETIRO,2013,
RETIRO,2014,
RETIRO,2015,2553.75
RETIRO,2016,2615.5
RETIRO,2017,2845.75
RETIRO,2018,3104.625
RETIRO,2019,3150.75
SAAVEDRA,2010,1765.2
SAAVEDRA,2011,2011.909090909091
SAAVEDRA,2012,2223.5
SAAVEDRA,2013,2372.285714285714
SAAVEDRA,2014,2242.5555555555557
SAAVEDRA,2015,2226.3846153846152
SAAVEDRA,2016,2453.875
SAAVEDRA,2017,2720.6
SAAVEDRA,2018,3031.076923076923
SAAVEDRA,2019,3101.4285714285716
SAN CRISTOBAL,2010,1381.8
SAN CRISTOBAL,2011,1511.0
SAN CRISTOBAL,2012,
SAN CRISTOBAL,2013,
SAN CRISTOBAL,2014,
SAN CRISTOBAL,2015,1862.75
SAN CRISTOBAL,2016,1957.1666666666667
SAN CRISTOBAL,2017,2095.5833333333335
SAN CRISTOBAL,2018,2329.3333333333335
SAN CRISTOBAL,2019,2339.5714285714284
SAN NICOLAS,2010,1678.375
SAN NICOLAS,2011,1786.0
SAN NICOLAS,2012,2207.0
SAN NICOLAS,2013,
SAN NICOLAS,2014,
SAN NICOLAS,2015,1978.125
SAN NICOLAS,2016,2061.0
SAN NICOLAS,2017,2176.0
SAN NICOLAS,2018,2332.375
SAN NICOLAS,2019,2453.8
SAN TELMO,2010,1481.0
SAN TELMO,2011,1589.0
SAN TELMO,2012,
SAN TELMO,2013,
SAN TELMO,2014,
SAN TELMO,2015,1986.5
SAN TELMO,2016,2128.777777777778
SAN TELMO,2017,2242.6
SAN TELMO,2018,2500.1
SAN TELMO,2019,2367.0
VELEZ SARSFIELD,2010,1372.6
VELEZ SARSFIELD,2011,1506.6666666666667
VELEZ SARSFIELD,2012,
VELEZ SARSFIELD,2013,1824.0
VELEZ SARSFIELD,2014,1880.0
VELEZ SARSFIELD,2015,1713.75
VELEZ SARSFIELD,2016,1794.5
VELEZ SARSFIELD,2017,1954.5555555555557
VELEZ SARSFIELD,2018,2235.3
VELEZ SARSFIELD,2019,2194.75
VERSALLES,2010,
VERSALLES,2011,1322.0
VERSALLES,2012,
VERSALLES,2013,
VERSALLES,2014,1979.0
VERSALLES,2015,
VERSALLES,2016,1943.6666666666667
VERSALLES,2017,1990.0
VERSALLES,2018,
VERSALLES,2019,
VILLA CRESPO,2010,1634.8125
VILLA CRESPO,2011,1837.5333333333333
VILLA CRESPO,2012,2104.3
