,actos_coleg_esc,monto_cred_uva,superficie,precio_venta_m2,expectativa_inflacion_mediana,tasas_interes_pm,precio_alquiler_dolares,uva,mes
40,5020.0,465059.0,77702.0,2397.358333333333,25.0,25.98333333333333,535.0846161444275,1,11
41,6210.0,819470.0,74927.0,2426.794738638653,25.0,24.75,545.0409782221654,1,12
42,3426.0,590482.0,63067.0,2448.045419030481,25.0,24.75,530.1077421566323,1,2
43,3017.0,743757.0,60630.0,2439.2406015037595,25.0,24.75,599.3696249024631,1,1
44,4513.0,1143646.0,65524.0,2492.077951512013,25.0,24.75,596.2388070178455,1,3
45,4035.0,1249687.0,70753.0,2514.769800326555,20.0,25.7,623.1644118273975,1,4
46,5100.0,1645988.0,73689.0,2485.7166666666667,21.0,26.25,642.1997517861308,1,10
47,5174.0,2628317.0,66752.0,2561.246128308144,20.0,26.25,634.1859174227463,1,8
48,5312.0,3991791.0,64244.0,2584.910536077002,20.0,26.25,606.2466762997893,1,6
49,6026.0,6068514.0,65655.0,2577.4608695652173,20.0,26.25,610.2878208467869,1,5
50,6014.0,7326432.0,53686.0,2632.738862684855,20.0,26.25,646.9057375382246,1,7
51,6154.0,8266415.0,49591.0,2656.7358690734836,20.0,26.58870967741936,687.4386336415187,1,9
52,6771.0,9138866.0,58254.0,2677.818181818182,20.0,28.516666666666666,629.9438894433115,1,11
53,7861.0,11465627.0,55915.0,2704.398705223004,20.0,28.75,672.3031444385147,1,12
54,4493.0,9497784.0,58135.0,2727.8278244404933,20.0,28.024193548387096,651.4081203010961,1,2
55,4040.0,9442986.0,46578.0,2783.7741935483878,20.0,27.25,631.8153818101092,1,1
56,6076.0,13937228.0,61005.0,2773.174877541597,20.0,27.25,612.0520468840296,1,3
57,5979.0,13219732.0,56634.0,2794.756414747304,25.0,27.65,617.7703865592788,1,4
58,5897.0,10597384.0,59855.0,2851.138613861386,25.0,39.153225806451616,549.2866234617932,1,10
59,4593.0,5572805.0,57359.0,2834.7350984058544,30.0,40.0,475.2779647672801,1,8
60,4414.0,4932757.0,63456.0,2852.6585961156497,30.0,40.0,503.3888758812295,1,6
61,4549.0,5122669.0,64637.0,2873.097087378641,30.0,44.03225806451613,466.54807660535187,1,5
62,3544.0,3419301.0,62304.0,2882.975438835225,30.0,60.5,364.0207197986122,1,7
63,3671.0,3229435.0,69167.0,2894.711892329351,40.0,71.83500000000001,382.0155409903438,1,9
64,3689.0,2975802.0,66076.0,2903.77570093458,30.0,64.19643333333335,401.67825514901614,1,11
65,4656.0,2692428.0,51644.0,2909.4181232178985,30.0,59.40835483870968,397.9961692713807,1,12
66,2028.0,2378753.0,61151.0,2911.4926039510965,30.0,57.578677419354825,424.44886523169896,1,2
67,2142.0,2101543.0,57844.0,2903.584905660377,30.0,47.72196428571427,424.0920058234473,1,1
68,2738.0,2128531.0,69059.0,2902.4871934359708,40.0,61.28735483870968,410.7316200841382,1,3
69,2774.0,2410731.0,66289.0,2890.208519453565,40.0,68.3167,389.24905509273077,1,4
